date,拼音,ratio
2018/8/1,Henan,0.022289051
2018/8/1,Hubei,0.018739821
2018/8/1,Hunan,0.016240564
2018/8/1,Anhui,0.038218092
2018/8/1,Beijing,0.037241349
2018/8/1,Fujian,0.043714131
2018/8/1,Hebei,0.037387855
2018/8/1,InnerMongolia,0.018080734
2018/8/1,Jiangsu,0.104731601
2018/8/1,Jiangxi,0.025444134
2018/8/1,Shandong,0.07696721
2018/8/1,Shanghai,0.040292656
2018/8/1,Shanxi,0.01768372
2018/8/1,Tianjin,0.015341653
2018/8/1,Zhejiang,0.065028195
2018/8/1,Chongqing,0.043131202
2018/8/1,Gansu,0.016300587
2018/8/1,Guizhou,0.03011689
2018/8/1,Ningxia,0.006924289
2018/8/1,Qinghai,0.005550711
2018/8/1,Shaanxi,0.047212531
2018/8/1,Sichuan,0.084359959
2018/8/1,Tibet,0.003047526
2018/8/1,Xinjiang,0.025180404
2018/8/1,Yunnan,0.041355703
2018/9/1,Heilongjiang,0.015798771
2018/9/1,Jilin,0.015925537
2018/9/1,Liaoning,0.03210017
2018/9/1,Guangdong,0.043997247
2018/9/1,Guangxi,0.00921377
2018/9/1,Hainan,0.002175172
2018/9/1,Henan,0.022046943
2018/9/1,Hubei,0.018536265
2018/9/1,Hunan,0.016064156
2018/9/1,Anhui,0.038364408
2018/9/1,Beijing,0.037383925
2018/9/1,Fujian,0.043881487
2018/9/1,Hebei,0.037530992
2018/9/1,InnerMongolia,0.018149955
2018/9/1,Jiangsu,0.105132559
2018/9/1,Jiangxi,0.025541546
2018/9/1,Shandong,0.077261874
2018/9/1,Shanghai,0.040446914
2018/9/1,Shanxi,0.017751421
2018/9/1,Tianjin,0.015400388
2018/9/1,Zhejiang,0.065277151
2018/9/1,Chongqing,0.042966113
2018/9/1,Gansu,0.016238195
2018/9/1,Guizhou,0.030001614
2018/9/1,Ningxia,0.006897786
2018/9/1,Qinghai,0.005529465
2018/9/1,Shaanxi,0.047031821
2018/9/1,Sichuan,0.084037062
2018/9/1,Tibet,0.003035861
2018/9/1,Xinjiang,0.025084023
2018/9/1,Yunnan,0.041197409
2018/10/1,Heilongjiang,0.016357217
2018/10/1,Jilin,0.014329296
2018/10/1,Liaoning,0.029935593
2018/10/1,Guangdong,0.044206725
2018/10/1,Guangxi,0.008681568
2018/10/1,Hainan,0.002172045
2018/10/1,Henan,0.022087125
2018/10/1,Hubei,0.01858671
2018/10/1,Hunan,0.016068964
2018/10/1,Anhui,0.039121769
2018/10/1,Beijing,0.038080843
2018/10/1,Fujian,0.044501427
2018/10/1,Hebei,0.037377613
2018/10/1,InnerMongolia,0.018566251
2018/10/1,Jiangsu,0.107213958
2018/10/1,Jiangxi,0.026130147
2018/10/1,Shandong,0.076664274
2018/10/1,Shanghai,0.041423358
2018/10/1,Shanxi,0.018356177
2018/10/1,Tianjin,0.015370982
2018/10/1,Zhejiang,0.066718995
2018/10/1,Chongqing,0.041949663
2018/10/1,Gansu,0.015747193
2018/10/1,Guizhou,0.029833153
2018/10/1,Ningxia,0.006820765
2018/10/1,Qinghai,0.005339698
2018/10/1,Shaanxi,0.046521983
2018/10/1,Sichuan,0.083363995
2018/10/1,Tibet,0.00300871
2018/10/1,Xinjiang,0.024890202
2018/10/1,Yunnan,0.040573602
2018/11/1,Heilongjiang,0.016203593
2018/11/1,Jilin,0.014194717
2018/11/1,Liaoning,0.029654443
2018/11/1,Guangdong,0.044564667
2018/11/1,Guangxi,0.008751863
2018/11/1,Hainan,0.002189632
2018/11/1,Henan,0.022265965
2018/11/1,Hubei,0.018737206
2018/11/1,Hunan,0.016199075
2018/11/1,Anhui,0.039810602
2018/11/1,Beijing,0.038751347
2018/11/1,Fujian,0.045284981
2018/11/1,Hebei,0.038035735
2018/11/1,InnerMongolia,0.018893154
2018/11/1,Jiangsu,0.109101716
2018/11/1,Jiangxi,0.02659023
2018/11/1,Shandong,0.078014132
2018/11/1,Shanghai,0.042152716
2018/11/1,Shanxi,0.018679381
2018/11/1,Tianjin,0.015641625
2018/11/1,Zhejiang,0.067893742
2018/11/1,Chongqing,0.040590113
2018/11/1,Gansu,0.015236841
2018/11/1,Guizhou,0.028866289
2018/11/1,Ningxia,0.00659971
2018/11/1,Qinghai,0.005166643
2018/11/1,Shaanxi,0.045014249
2018/11/1,Sichuan,0.080662246
2018/11/1,Tibet,0.002911201
2018/11/1,Xinjiang,0.024083534
2018/11/1,Yunnan,0.03925865
2018/12/1,Heilongjiang,0.016581265
2018/12/1,Jilin,0.014525567
2018/12/1,Liaoning,0.030345628
2018/12/1,Guangdong,0.043231715
2018/12/1,Guangxi,0.00849009
2018/12/1,Hainan,0.002124139
2018/12/1,Henan,0.021599978
2018/12/1,Hubei,0.018176767
2018/12/1,Hunan,0.015714552
2018/12/1,Anhui,0.040381707
2018/12/1,Beijing,0.039307257
2018/12/1,Fujian,0.045934618
2018/12/1,Hebei,0.038581379
2018/12/1,InnerMongolia,0.019164187
2018/12/1,Jiangsu,0.11066684
2018/12/1,Jiangxi,0.026971682
2018/12/1,Shandong,0.079133287
2018/12/1,Shanghai,0.04275742
2018/12/1,Shanxi,0.018947347
2018/12/1,Tianjin,0.015866012
2018/12/1,Zhejiang,0.068867715
2018/12/1,Chongqing,0.039779601
2018/12/1,Gansu,0.014932589
2018/12/1,Guizhou,0.02828988
2018/12/1,Ningxia,0.006467926
2018/12/1,Qinghai,0.005063475
2018/12/1,Shaanxi,0.044115394
2018/12/1,Sichuan,0.079051564
2018/12/1,Tibet,0.002853069
2018/12/1,Xinjiang,0.023602628
2018/12/1,Yunnan,0.038474724
2019/1/1,Heilongjiang,0.015474787
2019/1/1,Jilin,0.015017456
2019/1/1,Liaoning,0.032550957
2019/1/1,Guangdong,0.044443197
2019/1/1,Guangxi,0.008740385
2019/1/1,Hainan,0.002193956
2019/1/1,Henan,0.02210813
2019/1/1,Hubei,0.018696789
2019/1/1,Hunan,0.016418865
2019/1/1,Anhui,0.040288676
2019/1/1,Beijing,0.03875746
2019/1/1,Fujian,0.046282018
2019/1/1,Hebei,0.038247287
2019/1/1,InnerMongolia,0.018264577
2019/1/1,Jiangsu,0.107876286
2019/1/1,Jiangxi,0.02697245
2019/1/1,Shandong,0.07713249
2019/1/1,Shanghai,0.041537477
2019/1/1,Shanxi,0.018546693
2019/1/1,Tianjin,0.015368942
2019/1/1,Zhejiang,0.068299061
2019/1/1,Chongqing,0.040669079
2019/1/1,Gansu,0.015020238
2019/1/1,Guizhou,0.028890938
2019/1/1,Ningxia,0.006458046
2019/1/1,Qinghai,0.005066999
2019/1/1,Shaanxi,0.044437643
2019/1/1,Sichuan,0.079877516
2019/1/1,Tibet,0.002925042
2019/1/1,Xinjiang,0.023425703
2019/1/1,Yunnan,0.040010858
2019/2/1,Heilongjiang,0.015359275
2019/2/1,Jilin,0.014905357
2019/2/1,Liaoning,0.032307979
2019/2/1,Guangdong,0.046048247
2019/2/1,Guangxi,0.00905604
2019/2/1,Hainan,0.00227319
2019/2/1,Henan,0.022906557
2019/2/1,Hubei,0.019372017
2019/2/1,Hunan,0.017011827
2019/2/1,Anhui,0.039711369
2019/2/1,Beijing,0.038202095
2019/2/1,Fujian,0.045618831
2019/2/1,Hebei,0.037699232
2019/2/1,InnerMongolia,0.018002859
2019/2/1,Jiangsu,0.106330499
2019/2/1,Jiangxi,0.026585955
2019/2/1,Shandong,0.076027238
2019/2/1,Shanghai,0.040942276
2019/2/1,Shanxi,0.018280932
2019/2/1,Tianjin,0.015148716
2019/2/1,Zhejiang,0.067320386
2019/2/1,Chongqing,0.041251509
2019/2/1,Gansu,0.015235345
2019/2/1,Guizhou,0.029304691
2019/2/1,Ningxia,0.006550533
2019/2/1,Qinghai,0.005139565
